,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
1810,1871. 2 Day Angkor Discovery Tour,Adventure Tours,,,2 days,265,"Air-conditioned vehicle, Private transportation, Fuel surcharge, Parking Fees, Entry/Admission - Kompong Khleang","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1811,1872. 3 Days Unique Tour To Siem Reap Angkor,Bus Tours,,,3 days,205.13,"A/C Car, Fuel, English Speaking Tour Guide, Cold Mineral Water, Cold Face Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1812,1873. Siem Reap city bike Tour cruise floating village,Full-day Tours,,,6+ hours,68.72,"Standard bicycles, Cool pure drinking water, Fruit Snack, Professional English Speaking guide, Entry/Admission - Artisans Angkor, Entry/Admission - Royal Independence Gardens","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1813,1874. Siem Reap City Tour & The Cambodian Circus,City Tours,,,8–9 hours,79.5,"Round trip by Tuk Tuk, English speaking guide, Museum and Artisans Angkor entrance fees, Dinner, Ticket for the Cambodian Circus show, Snacks and drinks throughout the day","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1814,1875. 4 Days Tour to Khmer Empire,Bus Tours,,,3+ days,390,Air-conditioned vehicle,"Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
1815,1876. Tuol Sleng Museum and Russian Market Half-day Tour,Bus Tours,,,4 hours,57.7,"A half-day tour with a professional English-speaking guide., Transportation by air-conditioned vehicle with professional driver., All entrance fees for visits as mentioned in the description., All applicable taxes and service charges, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Russian Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1816,1877. Private Angkor Wat Sunset Small tour,Full-day Tours,,,6+ hours,141.67,"English speaking tour guide, Lexus,Van and bus with air-con, 1 Day Angkor Temple Pass, Set menu food for lunch, Gratuity is recommended, Entry/Admission - Angkor Friendly Tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1817,1878. Tonle Sap Lake Half day private tour & Artisan craft center in Siem Reap,Bus Tours,,,3 hours,44,"Informative, friendly English speaking guide, Transportation with Tuk Tuk / Air-con vehicle from hotel – tour – hotel, Bottled water, Fresh cold coconut juice, Welcome gift for souvenir, Booking of 2 Pax transferred by Tuk Tuk, 3-7 Paxs transfer by air-con vehicle, Entry/Admission - Chong Kneas Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1818,1879. Private Angkor Small Day Tour,Luxury Car Tours,,,6–7 hours,45,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1819,1880. Oudong Mountain Culture & Wellness Experience,Bus Tours,,,6+ hours,209,"Transportation by A/C vehicle on private basis, English speaking tour guide, Hotel pickup, Bottled water, All admission fees","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1820,1881. Bueng Mealea and Floating Village 1-day Tour,Full-day Tours,,,7–8 hours,60.9,"Pick Up & Drop Off in Siem Reap, Car, Van or Minibus with A/C, Cool Water and Cool Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1821,1882. 1 Day Angkor Wat With Small Circuit & Banteay Srei,Adventure Tours,,,6–7 hours,65,"A/C car / van / bus with driver, Cool drinking waters and towels, Parking fees and road tolls, Professional license English tour guide, Entry/Admission - Angkor Wat, Entry/Admission - Banteay Srei, Entry/Admission - Srah Srang, Entry/Admission - Pre Rup, Entry/Admission - Ta Prohm, Entry/Admission - Angkor Thom","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1822,1883. Battambang Cycling Tour,Adventure Tours,,,6 hours,24,"High quality imported mountain bike, local guide, water snacks, Snacks","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
1823,1884. Ruined Temple Discovery Tour,Adventure Tours,,,6+ hours,216,"Air-conditioned private car, English speaking tour guide, 02 Bottles of water per guest, Lunch, Entry/Admission - Beng Mealea","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1824,1885. Siem Reap to Phnom Penh Private Transfer with Touring,6+ hours,,,6+ hours,310,"Meet and greet service at your staying hotel, 1 way private transfer from Siem Reap to Phnom Penh, English speaking guide, Traditional local Khmer lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1825,1886. 5-day Highlights of Siem Reap & Phnom Penh,Bus Tours,,,3+ days,587.7,"Lunch, Breakfast, Lunch, Breakfast, Dinner, Breakfast, Dinner, Breakfast, Accommodation in Double/Twin shared with daily breakfast, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Air-conditioned vehicle, Entry/Admission - Wat Thmey (Killing Fields), Entry/Admission - Angkor Thom South Gate, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Ta Prohm, Entry/Admission - Angkor Wat, Entry/Admission - Pre Rup, Entry/Admission - Tonle Sap Lake, Entry/Admission - Wat Bo Temple, Entry/Admission - Psar Chaa - Old Market, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1826,1887. Private Angkor Hiking Day Tour,Walking Tours,,,6+ hours,90,"English speaking tourist guide, Private transportation, Cool hand towels, Bottled water, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1827,1888. Full-Day Phnom Penh Extreme Outdoor Shooting Range Activity,6+ hours,,,6+ hours,743.59,"Hotel/Airport pick up & drop off, Private luxury transportation, Private English Speaking Instructor, 24hrs services ( you can contact us anytime ), Cold beers and bottle of waters during your day, The weapons as mentioned above, Optional, if you would like to have photos or videos shooting, please inquire us","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1828,"1889. Kbal Spean, Banteay Srei and Banteay Samre Day Trip from Siem Reap",Full-day Tours,,,6+ hours,76.93,"All taxes, fees and handling charges, Lunch, Hotel pickup and drop-off, Transport by private vehicle, Private tour, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Kbal Spean","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1829,1890. Angkor Wat Sunrise small circuit,Full-day Tours,,,9–10 hours,15,"Service pick up / drop off at hotel, English Speaking tour guide, Drinking Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1830,1891. Full day car charter from Siem Reap to Prasat Sambor Prei Kuk x Tonlé Sap,6+ hours,,,6+ hours,16,"Air-conditioned vehicle, Fuel surcharge, Parking Fees, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1831,1892. 7 Hours Private Angkor Ultimate Tour in Cambodia,Bus Tours,,,6+ hours,50,Enjoy a delicious lunch in the Temple Park,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1832,1893. Ancient Temples Explorer with sunrise by Tuk Tuk,Full-day Tours,,,7–8 hours,45.13,"Tuk Tuk (local transport) 2 person per Tuk Tuk, Experienced English speaking local guide, Cool water and towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1833,1894. Private Cambodian Cooking Class with a Professional Chef in Siem Reap,Cooking Classes,,,3 hours,71.8,"Private cooking lesson and home cooked meal with your host Seav, Hotel pickup and drop-off (from your central Siem Reap hotel), All taxes, fees and handling charges, Gratuities","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1834,1895. 6-day Phnom Penh & Siem Reap with Angkor Temples & Floating Village,Bus Tours,,,3+ days,802.06,"Accommodation in Double/Twin shared with daily breakfast, Lunch, Dinner, Breakfast, Breakfast, Breakfast, Breakfast, Breakfast, Lunch, Lunch, Dinner, Lunch, Boat trip in Tonle Sap, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Air-conditioned vehicle, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Angkor Wat, Entry/Admission - Ta Prohm, Entry/Admission - Prasat Kravan, Entry/Admission - Banteay Kdei, Entry/Admission - Srah Srang, Entry/Admission - Thommanon, Entry/Admission - Chau Say Tevoda, Entry/Admission - Preah Khan, Entry/Admission - Neak Pean, Entry/Admission - Ta Som, Entry/Admission - Eastern Mebon, Entry/Admission - Pre Rup, Entry/Admission - Kbal Spean, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1835,1896. Kompong phluk 2 villages and sunset special,Bus Tours,,,6 hours,120,"All taxes, fees and handling charges, Expert lake guide, Hotel pickup and drop-off in air conditioned comfort, Unlimited drinks (open bar) including champagne,wines,beers,spirits,cocktails,soft drinks,, Bottled water, Buffet dinner or fixed menu, a selection of both asian and western type foods, Restroom on board, Entry/Admission - Tonle Sap Lake, Entry/Admission - Kompong Phluk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1836,1897. Full-Day Private Tour of Angkor Wat Temples,Bus Tours,,,6+ hours,100,"Coffee and/or Tea, Bottled water, Air-conditioned vehicle, Free entry, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1837,1898. 2-Day Angkor Wat Small and Big Circuit,Overnight Tours,,,2 days,265,"Pick-up and drop-off hotel in Siem Reap, Air-conditioned vehicle with driver, Professional English Speaking Tour guide, Drinking water & cool towel during trip, Temples pass for 2-day : 62USD/person, Gratuities, Entry/Admission - Angkor Wat, Entry/Admission - Ta Prohm Temple, Entry/Admission - Ta Nei Temple, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Phimeanakas, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Phnom Bakheng, Entry/Admission - Angkor Wat, Entry/Admission - Preah Khan, Entry/Admission - Neak Pean, Entry/Admission - Ta Som, Entry/Admission - Eastern Mebon, Entry/Admission - Banteay Srei, Entry/Admission - Banteay Samre, Entry/Admission - Banteay Kdei","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1838,1899. 1day- Vip Tour+tonle Sap Lake,Full-day Tours,,,6+ hours,128.21,"Air-conditioned vehicle, English speaking tour guide, All Fees and Taxes, Bottled water, Cold towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1839,"1900. Private One Day Trip with Sunrise at Angkor Wat, Angkor Thom and Tomb Raider",Bus Tours,,,7–8 hours,73.85,"Private Tour Guide, Private Transportation, Pure Drinking Water, Cold Towel, Pick-up & Drop-off at the lobby of hotel where you are staying","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1840,1901. Siem Reap City Tour and Siem Reap Street Food Tour,City Tours,,,4–5 hours,45,"English Speaking Tour Guide, Transportation: TukTuk, Bottles of drinking Cold Water, Street Foods tasting","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1841,1902. A Day Trip To Phnom Chisor And Tonle Batti From Phnom Penh,Luxury Car Tours,,,6–8 hours,61,"Private English speaking guide, or friendly driver Option, Tickets and Entrance fee, Cold boittles of water, Gasoline, Tolls, Parking, Passenger insurance","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1842,"1903. VIP Private Sunrise Angkor Day Tour (Sunrise, Angkor Wat, Bayon, Ta Prohm)",Bus Tours,,,5–6 hours,65,"Experience many years tour driver, Professional English Speaking Tour Guide, Hotel Pick Up & Drop Off, Cold Water During Tour, All local taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1843,1904. 2 hrs - Phsar Krom Local Market Private Tour,Bus Tours,,,2 hours,46.16,"English speaking tour guide, Air-conditioning vehicle, Towel and bottle of water, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1844,1905. Private Guide Day Trip To Banteay Srei And Grand Circle Temples Tours,Full-day Tours,,,6–8 hours,65,"Private Tour Guide & Driver, Gasoline, Tool, Park., Cold Bottles of Water, Passenger insurance inclued","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1845,1906. Siem Reap Sunrise Small-Group Tour of Angkor Wat - Free Hotel Pickup/Drop Off,Full-day Tours,,,6+ hours,27,"Experienced and licensed English speaking tour guide, Transport by air-conditioned minivan, Bottled water & cool towel, Hotel pickup and drop-off, Local tax, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Ta Prohm Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1846,1907. One Day Private Guide Tour to Phnom Kulen Mountain & Reclining Buddha,Bus Tours,,,6+ hours,197.95,"Private transportation by modern air-conditioned vehicle, Professional Licensed English Speaking guide, Sightseeing as specified in the itinerary including entrance fees, Meals as specified in itinerary (1 lunch), 02 bottles of mineral water per person while sightseeing and transfers, VAT and all taxes and service charge, Included admission fee to visit the temples in Angkor Archaeological Park single-day ticket $37.00, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1847,1908. Private Tour to Phreah Vihear Temple & Koh Ker Temple from Siem Reap,Full-day Tours,,,6+ hours,170,"Pick up 4WD Vehicle to go up to the mountain top, All Taxes included, Drinking Water, Tour Guide and Driver, Air-conditioned vehicle, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1848,1909. Laos Outbound,6+ hours,,,6+ hours,233.34,"Hotel pick-up, Bottled water & Cold Towels, Drop-off at the Laos border, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1849,1910. ATV Grand Sunset Private Tour - Free Hotel Pickup/Drop Off,Adventure Tours,,,2 hours,62,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1850,1911. Private Taxi Overland Transfer From Battambang - Phnom Penh,5–6 hours,,,5–6 hours,56.54,"Experienced English speaking driver, Air-conditioning vehicle ( SUV car / Minivan), Petrol, toll and parking fees, Free miniral water during the journey","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
1851,1912. Siem Reap 3 days Angkor Sunrise Top hill Sunset Private Tour,Private and Luxury,,,3 days,141.03,"Professional English speaking Tour guide, Tuk Tuk and driver, Cold bottle of water and towels, Fruit Snack, Gratuity is recommended, pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1852,1913. Arrival Airport Transfer by Tuk Tuk,25 minutes,,,25 minutes,111.44,"Meet and greet service at the airport with welcome signage, Porterage for 1 piece of standard sized luggage plus 1 hand carry per person, One-way arrival airport transfer by Tuk Tuk","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1853,1914. Siem Reap Discovery Half Day Private Guided Tour,Bus Tours,,,4 hours,52.06,"Private Guide, Bottled water, Morning or Afternoon tea, Driver, Hotel pickup, Snacks","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1854,1915. Kulen Mountain and Floating Village (Kampong Phluk) Tour,Full-day Tours,,,7–8 hours,94.24,"English-Speaking Tour Guide, Transportation ( AC car or minivan or minibus, Bottles of Cold drinking Water, Entry/Admission - Kampong Phluk Group Tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1855,1916. Foodie Scooter Tour in Siem Reap,City Tours,,,2 days,99,"Dinner, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1856,1917. Private Tour: Phnom Penh City Tour Half Day,Bus Tours,,,4 hours,128.21,"Hotel pickup and drop-off at Phnom Phen City area, Transport by air-conditioned private car, English speaking local guide at the time of sightseeing, Entry/Admission - Phnom Penh, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1857,1918. Adventure to Temples Forest beyond Angkor Wat,Bus Tours,,,6–9 hours,170,"Private transportation, Air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1858,1919. Private One Day Tour in Phnom Penh,Bus Tours,,,7–8 hours,153.85,"Private English Speaking Tour Guide, Private Transportation with A/C, Pure Drinking Water, hotel pick up & drop off","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1859,1920. Half Day Private Sunset City Tour By Army Jeep,Private and Luxury,,,6 hours,71.8,"Professional English speaking tour guide, Jeep and Licensed driver, Cold water and Cold towels, Pick up and drop off, Gratuity is recommended, Entry/Admission - Royal Independence Gardens, Entry/Admission - West Baray, Entry/Admission - Angkor Silk Farm","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1860,1921. A Day Tours To Preah Vihear - Koh Ker Temples With Tour Guide From Siem Reap,Full-day Tours,,,9–12 hours,145,"Private guide and friendly driver, Gasoline, Tool, Parking, Cold bottle of water, Passenger insurance inclued","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1861,1922. Village Cycling Tour (Private),Bike Tours,,,4 hours,155,"Bicycle and helmet, English speaking tour guide, All entrance fees, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1862,1923. Daily trip by private Car Siem Reap to PhnomPenh,Adventure Tours,,,6–8 hours,65,"Air-conditioned vehicle, Parking Fees, Fuel surcharge, Hotel pickup and drop-off, English Speaking Driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1863,1924. Grand Circuit & Banteay Srei Jeep Tour,Adventure Tours,,,6+ hours,76.93,"All land transportation by private jeep, ENGLISH speaking guide, Mineral water and cold tissues on tour, Fuel surcharge, Landing and facility fees","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1864,1925. Private Tour to Phnom Kulen National Park Tour with English Speaking Guide,Bus Tours,,,6+ hours,156,"Transportation in an air-conditioned car or van, Mineral water, Hotel pickup and drop-off, English-speaking guide (License Guide) (01Day)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1865,1926. 3-Day All Major Temples & Kulen Mount Waterfall-Free Airport Pick Up,Adventure Tours,,,3 days,170,"Air-conditioned vehicle with driver, Start pick up at your hotel and finish drop you at hotel, English Speaking Guide with licensed., Cool water and Cool wet towel, Entry/Admission - Phimeanakas","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1866,1927. Siem Reap Street Food Evening Tour,Walking Tours,,,3 hours,45,"English speaking guide, Pick up & drop of by Tuk Tuk, Food 10 tastings & drink","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1867,1928. Transportation Pick up and Drop off,35–60 minutes,,,35–60 minutes,15,"Pick up or Drop off | hotel and airport, Free cool drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1868,1929. Angkor Wat & Bayon:: the Smiling Temple Bike Tour,Adventure Tours,,,5 hours,38,"English speaking tour guide, Quality mountain bike (Giant/Trek), Helmet, Lunch, Fresh coconut juice, Pure drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1869,1930. Secrets of Siem Reap sunrise bicycle tour secluded corners and hidden histories,Tuk Tuk Tours,,,4–5 hours,71.8,"Breakfast, Use of bicycle, Private transportation, All Fees and Taxes, Snacks, Cold towel and Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1870,1931. Discover Angkor Wat Temples And Phnom Kulen,Bus Tours,,,3 days,266.67,"A/C Car, Fuel, English Speaking Tour Guide, Cold Mineral Water, Cold Face Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1871,1932. Explore Siem Reap Angkor Wat Complex by Car,6+ hours,,,6+ hours,45,"Air-conditioned vehicle, English Speaking Tour Guide, Pick up and Drop off by Car, Bottle of Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1872,1933. Village and Local Market Shared Tour,City Tours,,,4–6 hours,61.54,"Local English Speaking Tour guide, Tuk Tuk, Drinking Water and Cold Towels, Hotel Pickup and Drop Off, 50% of the profits we will make with your booking will go directly to support the local disadvantaged communities","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1873,"1934. 2-Day Private Guided Tour to Beng Mealea, Koh Ker and Preah Vihear",Bus Tours,,,2 days,488,"Lunch, Breakfast, Professional Licensed English Speaking guide, Accommodation included Stay 1 night at the Preah Vihear Boutique Hotel, Private transportation by modern air-conditioned vehicle, Sightseeing as specified in the itinerary including entrance fees, Meals as specified in itinerary (1 lunch & 1 breakfast), Bottles of mineral water per person while sightseeing and transfers, Included admission fee to visit the temples in Archaeological Park Beng Mealea, Koh Ker & Preah Vihe, VAT and all taxes and service charge, Entry/Admission - Beng Mealea, Entry/Admission - Koh Ker Temple, Entry/Admission - Preah Vihear Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1874,1935. Bike Tour by Local Guide to Angkor Complex,Bike Tours,,,6+ hours,65.26,"Lunch, Use of bicycle and safety equipment, Local expert English Speaking tour guide, A soft drink or a coconut water and drinking water, 50% of the profits will go directly to support the local disadvantaged communities","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1875,1936. An Overnight Khmer Village Tour with Food and Cultural Activities,Overnight Tours,,,2 days,40,"Breakfast, Dinner, Private transportation, Drinks, Cultural Activities, Tour Guide, Accommodation for one night","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1876,1937. Private Transfer From Siem Reap - Pattaya Beach Chon Buri With Relaible Driver,8–9 minutes,,,8–9 minutes,138.4,"Private friendly driver, Air-conditioned vehicle Car /Mini-van, Gasoine, Tool, Parking fee","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1877,1938. Phnom Kulen Sacred Mountain by Jeep from Siem Reap,Full-day Tours,,,6+ hours,170,"Professional guide, Transport by private vehicle, Driver, Lunch, Bottled water, Snacks, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1878,1939. Siem Reap & Phnom Penh Discovery 6 Days 5 Nights,Adventure Tours,,,3+ days,"1,130.77","Breakfast, Breakfast, Breakfast, Dinner, Breakfast, Breakfast, Admission tickets, Transport, Driver, Professional Guide, Entry/Admission - Siem Reap, Entry/Admission - Bayon Temple, Entry/Admission - Ta Prohm Temple, Entry/Admission - Banteay Srei, Entry/Admission - Artisans d'Angkor, Entry/Admission - Silver Pagoda, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Wat Phnom","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1879,1940. Private Half-Day Village Tour and Silk Farm From Siem Reap,Walking Tours,,,4 hours,44,"Experienced English-speaking tour guide, Hotel pickup and drop-off, villages walk and interact with local people, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
1880,1941. 4-day Highlight Phnom Penh Silk Island Shopping,Bus Tours,,,3+ days,452.31,"Lunch, Dinner, Breakfast, Accommodation in Double/Twin shared with daily breakfast, Breakfast, Lunch, Breakfast, Boat trip in Tonle Sap, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Air-conditioned vehicle, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
1881,1942. Angkor Borei and Phnom Da Tour,Bus Tours,,,6–8 hours,138.47,"All taxes, fees and handling charges, Lunch, Professional guide, Hotel pickup and drop-off, Transport by air-conditioned minivan, Entry/Admission - Angkor Borei Museum, Entry/Admission - Phnom Da","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
